division,desc_division,seccion,desc_seccion,industria_ad_hoc
1,"Producción agropecuaria, caza y actividades de servicios",A,"Producción agropecuaria, forestación y pesca",Actividades primarias
2,Forestación y extracción de madera,A,"Producción agropecuaria, forestación y pesca",Actividades primarias
3,Pesca y Acuicultura,A,"Producción agropecuaria, forestación y pesca",Actividades primarias
5,"Extracción de carbón y lignito, extracción de turba",B,Explotación de minas y canteras,Actividades primarias
6,Extracción de petróleo crudo y gas natural,B,Explotación de minas y canteras,Actividades primarias
7,Extracción de minerales metalíferos,B,Explotación de minas y canteras,Actividades primarias
8,Explotación de otras minas y canteras,B,Explotación de minas y canteras,Actividades primarias
9,Actividades de apoyo a la explotación de minas,B,Explotación de minas y canteras,Actividades primarias
10,Elaboración de productos alimenticios,C,Industrias Manufactureras,Industrias manufactureras
11,Elaboración de bebidas,C,Industrias Manufactureras,Industrias manufactureras
12,Elaboración de productos de tabaco,C,Industrias Manufactureras,Industrias manufactureras
13,Fabricación de productos textiles,C,Industrias Manufactureras,Industrias manufactureras
14,Fabricación de prendas de vestir,C,Industrias Manufactureras,Industrias manufactureras
15,Fabricación de cueros y productos conexos,C,Industrias Manufactureras,Industrias manufactureras
16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",C,Industrias Manufactureras,Industrias manufactureras
17,Fabricación de papel y de los productos de papel,C,Industrias Manufactureras,Industrias manufactureras
18,Actividades de impresión y reproducción de grabaciones,C,Industrias Manufactureras,Industrias manufactureras
19,Fabricación de coque y de productos de la refinación del petróleo,C,Industrias Manufactureras,Industrias manufactureras
20,Fabricación de sustancias y productos químicos,C,Industrias Manufactureras,Industrias manufactureras
21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",C,Industrias Manufactureras,Industrias manufactureras
22,Fabricación de productos de caucho y plástico,C,Industrias Manufactureras,Industrias manufactureras
23,Fabricación de otros productos minerales no metálicos     ,C,Industrias Manufactureras,Industrias manufactureras
24,Fabricación de metales comunes     ,C,Industrias Manufactureras,Industrias manufactureras
25,"Fabricación de productos derivados del metal, excepto maquinaria y equipo",C,Industrias Manufactureras,Industrias manufactureras
26," Fabricación de los productos informáticos, electrónicos y ópticos",C,Industrias Manufactureras,Industrias manufactureras
27,Fabricación de equipo eléctrico,C,Industrias Manufactureras,Industrias manufactureras
28,Fabricación de la maquinaria y equipo n.c.p.,C,Industrias Manufactureras,Industrias manufactureras
29,"Fabricación de vehículos automotores, remolques y semi remolques",C,Industrias Manufactureras,Industrias manufactureras
30,Fabricación de otros tipos de equipo de transporte  ,C,Industrias Manufactureras,Industrias manufactureras
31,Fabricación de muebles,C,Industrias Manufactureras,Industrias manufactureras
32,Otras industrias manufactureras,C,Industrias Manufactureras,Industrias manufactureras
33,Reparación e instalación de la maquinaria y equipo,C,Industrias Manufactureras,Industrias manufactureras
35,"Suministro de electricidad, gas, vapor y aire acondicionado",D,"Suministro de electricidad, gas, vapor y aire acondicionado","Suministro de electricidad, gas y agua"
36,"Captación, tratamiento y suministro de agua",E,"Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento","Suministro de electricidad, gas y agua"
37,Alcantarillado,E,"Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento","Suministro de electricidad, gas y agua"
38,"Recolección, tratamiento y eliminación de desechos, recuperación de materiales",E,"Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento","Suministro de electricidad, gas y agua"
39,Actividades de saneamiento y otros servicios de gestión de desechos,E,"Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento","Suministro de electricidad, gas y agua"
41,Construcción de obras de arquitectura,F,Construcción,Construcción
42,Ingeniería Civil,F,Construcción,Construcción
43,Actividades especializadas de la construcción,F,Construcción,Construcción
45,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,G,Comercio al por mayor y al por menor; reparación de los vehículos de motor y de las motocicletas,"Comercio, reparaciones, restaurantes y hoteles"
46,"Comercio al por mayor, excepto de los vehículos de motor y de las motocicletas",G,Comercio al por mayor y al por menor; reparación de los vehículos de motor y de las motocicletas,"Comercio, reparaciones, restaurantes y hoteles"
47,"Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas",G,Comercio al por mayor y al por menor; reparación de los vehículos de motor y de las motocicletas,"Comercio, reparaciones, restaurantes y hoteles"
49,Transporte por vía terrestre; transporte por tuberías,H,Transporte y almacenamiento,Transporte y almacenamiento
50,Transporte por vía acuática,H,Transporte y almacenamiento,Transporte y almacenamiento
51,Transporte por vía aérea,H,Transporte y almacenamiento,Transporte y almacenamiento
52,Depósito y actividades de transporte complementarias,H,Transporte y almacenamiento,Transporte y almacenamiento
53,Correo y servicios de mensajería,H,Transporte y almacenamiento,Transporte y almacenamiento
55,Alojamiento,I,Alojamiento y servicios de comida,"Comercio, reparaciones, restaurantes y hoteles"
56,Servicio de alimento y bebida,I,Alojamiento y servicios de comida,"Comercio, reparaciones, restaurantes y hoteles"
58,Actividades de publicación,J,Información y comunicación,Informática y comunicación
59,"Actividades de producción de películas, de video de programas de televisión, grabación y publicación de música y sonido.",J,Información y comunicación,Informática y comunicación
60,Actividades de Programación y distribución.,J,Información y comunicación,Informática y comunicación
61,Telecomunicaciones.,J,Información y comunicación,Informática y comunicación
62,Actividades de la tecnología de información y del servicio informativo.,J,Información y comunicación,Informática y comunicación
63,Actividades del servicio informativo.,J,Información y comunicación,Informática y comunicación
64,"Servicios financieros, excepto seguros y fondos de pensiones.",K,Actividades financieras y de seguros,Otras actividades
